,rank,title,total_ratings,installs_in_millions,average_rating,growth_30_days,growth_60_days,price,category,5_star_ratings,4_star_ratings,3_star_ratings,2_star_ratings,1_star_ratings,5_star_percent,4_star_percent,3_star_percent,2_star_percent,1_star_percent,paid
0,1,Garena Free Fire- World Series,86273129,500.0,4,2.1,6.9,0.0,GAME ACTION,63546766,4949507,3158756,2122183,12495915,73.66,5.74,3.66,2.46,14.48,False
1,2,PUBG MOBILE - Traverse,37276732,500.0,4,1.8,3.6,0.0,GAME ACTION,28339753,2164478,1253185,809821,4709492,76.03,5.81,3.36,2.17,12.63,False
2,3,Mobile Legends: Bang Bang,26663595,100.0,4,1.5,3.2,0.0,GAME ACTION,18777988,1812094,1050600,713912,4308998,70.43,6.8,3.94,2.68,16.16,False
3,4,Brawl Stars,17971552,100.0,4,1.4,4.4,0.0,GAME ACTION,13018610,1552950,774012,406184,2219794,72.44,8.64,4.31,2.26,12.35,False
4,5,Sniper 3D: Fun Free Online FPS Shooting Game,14464235,500.0,4,0.8,1.5,0.0,GAME ACTION,9827328,2124154,1047741,380670,1084340,67.94,14.69,7.24,2.63,7.5,False
5,6,Call of Duty®: Mobile - Season 4: Spurned & Burned,13572148,100.0,4,2.0,4.0,0.0,GAME ACTION,10501443,1274162,517273,268489,1010778,77.37,9.39,3.81,1.98,7.45,False
6,7,Among Us,11936964,100.0,3,1.8,5.6,0.0,GAME ACTION,5954262,1041297,853099,719378,3368926,49.88,8.72,7.15,6.03,28.22,False
7,8,Temple Run 2,9633929,500.0,4,0.3,0.8,0.0,GAME ACTION,6579369,991341,614643,349003,1099571,68.29,10.29,6.38,3.62,11.41,False
8,9,PUBG MOBILE LITE,7578630,100.0,4,1.0,2.5,0.0,GAME ACTION,5382545,500696,351523,238986,1104879,71.02,6.61,4.64,3.15,14.58,False
9,10,Gangstar Vegas: World of Crime,6268377,100.0,4,0.4,1.0,0.0,GAME ACTION,4509647,605510,319332,167792,666094,71.94,9.66,5.09,2.68,10.63,False
10,11,Pixel Gun 3D: FPS Shooter & Battle Royale,5681934,100.0,4,0.2,0.5,0.0,GAME ACTION,3866308,527159,326294,186593,775578,68.05,9.28,5.74,3.28,13.65,False
11,12,Bowmasters,5471344,100.0,4,2.0,4.1,0.0,GAME ACTION,4319351,514574,229990,98901,308525,78.95,9.4,4.2,1.81,5.64,False
12,13,Standoff 2,4801658,50.0,4,3.0,7.6,0.0,GAME ACTION,3884644,365380,135150,65422,351059,80.9,7.61,2.81,1.36,7.31,False
13,14,Talking Tom Gold Run,4710639,100.0,4,1.3,4012.8,0.0,GAME ACTION,3581634,397794,200800,116460,413948,76.03,8.44,4.26,2.47,8.79,False
14,15,Garena Liên Quân Mobile,4564398,50.0,4,1.0,2.7,0.0,GAME ACTION,3142312,386513,204843,111645,719082,68.84,8.47,4.49,2.45,15.75,False
15,16,Banana Kong,4496723,100.0,4,0.5,1.0,0.0,GAME ACTION,3497817,518453,223009,72115,185328,77.79,11.53,4.96,1.6,4.12,False
16,17,Crossy Road,4464668,100.0,4,0.1,0.2,0.0,GAME ACTION,3379550,576816,234463,68644,205194,75.7,12.92,5.25,1.54,4.6,False
17,18,War Robots. 6v6 Tactical Multiplayer Battles,4221389,50.0,3,692.7,0.6,0.0,GAME ACTION,2634036,450688,267931,164087,704645,62.4,10.68,6.35,3.89,16.69,False
18,19,MORTAL KOMBAT: The Ultimate Fighting Game!,4215808,50.0,4,0.5,1.2,0.0,GAME ACTION,2874353,457806,254154,136153,493340,68.18,10.86,6.03,3.23,11.7,False
19,20,Last Day on Earth: Survival,4159837,50.0,4,0.7,1.6,0.0,GAME ACTION,3073534,463932,205166,103198,314004,73.89,11.15,4.93,2.48,7.55,False
20,21,Agar.io,4112075,100.0,3,0.2,0.3,0.0,GAME ACTION,2493810,428315,289428,156522,743997,60.65,10.42,7.04,3.81,18.09,False
21,22,DEER HUNTER CLASSIC,3987062,100.0,4,0.0,0.0,0.0,GAME ACTION,2776350,614755,242698,81199,272058,69.63,15.42,6.09,2.04,6.82,False
22,23,Modern Combat 5: eSports FPS,3516024,100.0,4,0.5,1.0,0.0,GAME ACTION,2419540,421218,214049,100008,361206,68.81,11.98,6.09,2.84,10.27,False
23,24,Kick the Buddy,3213257,100.0,4,1.0,2.3,0.0,GAME ACTION,2174466,265019,189630,118612,465528,67.67,8.25,5.9,3.69,14.49,False
24,25,Special Forces Group 2,3195503,100.0,4,1.4,7584.9,0.0,GAME ACTION,2486283,232254,118927,70889,287147,77.81,7.27,3.72,2.22,8.99,False
25,26,DEAD TRIGGER 2 - Zombie Game FPS shooter,3140510,50.0,4,0.2,0.5,0.0,GAME ACTION,2332406,409344,156460,63835,178462,74.27,13.03,4.98,2.03,5.68,False
26,27,Mini Militia - Doodle Army 2,3133361,100.0,4,0.9,2.1,0.0,GAME ACTION,2107121,271167,174340,107203,473528,67.25,8.65,5.56,3.42,15.11,False
27,28,Call of Duty®: Mobile - Garena,2695923,10.0,4,3.2,5.5,0.0,GAME ACTION,1922909,223625,133776,79762,335849,71.33,8.29,4.96,2.96,12.46,False
28,29,CATS: Crash Arena Turbo Stars,2670589,50.0,4,1082.3,1.0,0.0,GAME ACTION,1944649,272948,134237,69845,248907,72.82,10.22,5.03,2.62,9.32,False
29,30,Injustice: Gods Among Us,2540439,10.0,4,0.1,0.2,0.0,GAME ACTION,1879504,251048,115871,60732,233281,73.98,9.88,4.56,2.39,9.18,False
30,31,Swamp Attack,2472561,100.0,4,0.3,0.7,0.0,GAME ACTION,1841035,284687,138333,56785,151718,74.46,11.51,5.59,2.3,6.14,False
31,32,GUNSHIP BATTLE: Helicopter 3D,2380639,50.0,4,0.2,0.3,0.0,GAME ACTION,1582549,267812,149090,73581,307605,66.48,11.25,6.26,3.09,12.92,False
32,33,Real Steel World Robot Boxing,2365838,50.0,4,0.1,0.2,0.0,GAME ACTION,1849560,211891,101452,42652,160281,78.18,8.96,4.29,1.8,6.77,False
33,34,Critical Ops: Online Multiplayer FPS Shooting Game,2271977,50.0,4,0.4,0.9,0.0,GAME ACTION,1561779,253442,130615,65118,261021,68.74,11.16,5.75,2.87,11.49,False
34,35,LINE Rangers - a tower defense RPG w/Brown & Cony!,2131549,10.0,4,0.1,0.2,0.0,GAME ACTION,1508264,249413,138706,48233,186930,70.76,11.7,6.51,2.26,8.77,False
